matched_ids_avg,movieId_movies_metadata,avg_of_rating,budget,director_id,top_actor_id,genres,original_language,release_date,revenue,spoken_languages,runtime,production_countries,vote_count
tt0112431,tt0112431,3.6205942448493103,30000000,58137,58136,14,100,199507,254134910,1,89.0,14,756
tt0112818,tt0112818,3.931581828133552,11000000,504,4038,18,100,199512,39363635,1,122.0,27,350
tt0113855,tt0113855,2.6292445482866045,18000000,4014,38559,28,100,199508,122195920,1,101.0,27,452
tt0114681,tt0114681,3.372715946843854,20000000,5216,2227,14,100,199505,21284514,1,106.0,27,177
tt0113347,tt0113347,3.2690225563909774,10000000,3047,1920,18,100,199510,23574130,1,116.0,27,38
tt0114369,tt0114369,4.068128299593604,33000000,7467,287,80,100,199509,327311859,1,127.0,27,5915
tt0114148,tt0114148,2.956655762455964,55000000,65530,65529,12,100,199506,346079773,1,81.0,27,1509
tt0114814,tt0114814,4.300188962561792,6000000,9032,9045,18,100,199507,23341568,4,106.0,27,3334
tt0113819,tt0113819,3.5355968272393112,15000000,1243,1243,35,100,199509,6700000,1,95.0,27,145
tt0113118,tt0113118,3.5509585289514867,3500000,37932,9778,35,100,199504,28215918,1,91.0,27,513
tt0116367,tt0116367,3.3079605263157896,19000000,2294,1461,27,100,199601,25836616,2,108.0,27,1644
tt0113010,tt0113010,2.354518736223365,50000000,70850,13021,28,100,199511,11534477,2,91.0,27,54
tt0115676,tt0115676,2.459731543624161,15000000,58712,8872,35,100,199601,2042530,1,90.0,27,16
tt0114367,tt0114367,3.016246953696182,20000000,25735,27811,27,100,199509,5781885,1,108.0,200,154
tt0114660,tt0114660,3.2703649635036496,8000000,5501,1271,18,100,199512,529766,1,116.0,27,87
tt0118158,tt0118158,3.485175495966863,38000000,578,1229,28,100,199602,10300000,4,129.0,27,86
tt0113972,tt0113972,3.1365479293368086,8169363,12840,85,80,100,199511,8175346,1,90.0,27,190
tt0117002,tt0117002,2.851307189542484,47000000,3224,1204,18,100,199602,12379402,1,104.0,27,77
tt0114825,tt0114825,2.5143584993052337,14000000,5140,776,35,100,199510,19800000,1,100.0,27,113
tt0115759,tt0115759,3.1123652554288395,50000000,11401,8891,28,100,199602,150270147,1,108.0,27,459
tt0115734,tt0115734,3.776083800041485,7000000,5655,36422,35,100,199602,560069,2,91.0,27,285
tt0116483,tt0116483,3.396511627906977,12000000,17494,19292,35,100,199602,41205099,1,92.0,27,767
tt0112579,tt0112579,3.3279824718297264,24000000,190,5064,18,100,199505,182016617,1,135.0,27,397
tt0112573,tt0112573,4.016057252826558,72000000,2461,2461,28,100,199505,210000000,4,177.0,27,3404
tt0075314,tt0075314,4.0893090376222485,1300000,1032,380,80,100,197602,28262574,2,114.0,27,2632
tt0113326,tt0113326,3.4000675472830983,7500000,44916,18897,80,161,199501,32392047,2,91.0,71,245
tt0114536,tt0114536,2.804428044280443,25000000,12989,1271,35,100,199509,6278139,1,113.0,27,7
tt0103859,tt0103859,2.8624662907575384,40000000,68215,776,35,100,199206,70100000,2,117.0,27,139
tt0116324,tt0116324,3.741662110442865,7000000,17883,7399,35,100,199603,14702438,1,92.0,27,66
tt0113451,tt0113451,2.767378464334393,50000000,15175,16560,28,100,199510,9851610,1,95.0,27,45
tt0115685,tt0115685,3.5228261714196907,31000000,5342,2157,35,100,199603,185260553,2,117.0,27,303
tt0112442,tt0112442,3.2701955495616994,19000000,865,2888,28,100,199504,141407024,1,118.0,27,1729
tt0112427,tt0112427,2.90994623655914,4000000,10723,4566,10749,100,199507,851545,1,113.0,70,11
tt0112384,tt0112384,3.884030583809391,52000000,6159,31,18,100,199506,355237933,1,140.0,27,1637
tt0114287,tt0114287,3.5258391246488245,28000000,30365,3896,12,100,199504,31596911,1,139.0,70,151
tt0112462,tt0112462,2.906473407180454,100000000,5572,5576,28,100,199506,336529144,1,121.0,70,1529
tt0112541,tt0112541,3.536550542547116,2000000,46391,1037,35,100,199509,1275000,1,83.0,27,28
tt0109370,tt0109370,2.7914691943127963,11000000,17087,7180,28,100,199506,178104,1,91.0,200,57
tt0112642,tt0112642,2.8939841892152454,50000000,11887,6886,14,100,199505,287928194,1,100.0,27,1045
tt0112688,tt0112688,3.414971521562246,25000000,5281,1037,9648,100,199509,13071518,1,128.0,27,69
tt0112715,tt0112715,2.6065981850264683,50000000,664,350,28,100,199506,152022101,2,109.0,27,214
tt0112740,tt0112740,3.745898805178839,53000000,893,5292,28,100,199505,157387195,1,116.0,27,508
tt0112851,tt0112851,3.4321167449325327,7000000,2294,3131,53,100,199508,25405445,1,104.0,27,898
tt0112857,tt0112857,3.460884724340815,27000000,21712,5292,18,100,199509,16140822,1,102.0,27,88
tt0112864,tt0112864,3.5035240874468294,90000000,1090,62,28,100,199505,366101666,3,128.0,27,2094
tt0113071,tt0113071,3.063799309483582,55000000,3415,738,28,100,199507,127600435,2,134.0,27,319
tt0113243,tt0113243,3.216995126086035,20000000,1978,9012,28,100,199509,7563728,4,107.0,27,406
tt0113481,tt0113481,2.7472150213690183,25000000,59997,6384,12,100,199505,19075720,2,97.0,200,380
tt0113492,tt0113492,2.5347226351150485,90000000,33279,16483,878,100,199506,113493481,1,96.0,27,643
tt0113540,tt0113540,3.5252285513361463,1500000,51917,57387,18,100,199507,7412216,1,91.0,27,280
tt0113677,tt0113677,3.847905652704352,500000,6400,884,18,100,199501,1148752,1,89.0,27,64
tt0113749,tt0113749,3.574297399328859,6000000,19303,11662,10749,100,199510,2122561,1,94.0,27,400
tt0113820,tt0113820,1.9814189189189189,15000000,42111,56895,28,100,199506,66000000,1,92.0,158,153
tt0110604,tt0110604,3.354559748427673,2,58384,545828,53,100,199509,1,2,95.0,149,36
tt0113957,tt0113957,3.119938985348951,22000000,11472,18277,80,100,199507,110627965,2,114.0,27,359
tt0114095,tt0114095,3.448170731707317,150000,56714,7489,35,100,199506,472370,1,94.0,27,14
tt0114194,tt0114194,3.33165548098434,8,28902,4690,14,100,199509,16,1,98.0,27,139
tt0114345,tt0114345,2.687228260869565,50000000,8965,3416,18,100,199510,10382407,1,135.0,27,111
tt0114436,tt0114436,2.245992952142776,45000000,10491,19189,18,100,199509,20350754,1,128.0,4,261
tt0114478,tt0114478,3.842241379310345,7000000,39819,1037,35,100,199506,8349430,1,112.0,149,115
tt0114508,tt0114508,2.8297149267520125,35000000,21370,57395,878,100,199507,113374103,1,108.0,27,457
tt0114558,tt0114558,3.416912738010386,42000000,14392,5469,80,100,199510,7959291,1,145.0,27,334
tt0114666,tt0114666,2.84180790960452,14000000,17880,589,53,100,199509,5780000,1,99.0,27,9
tt0114781,tt0114781,2.931647634584013,60000000,32277,23880,28,100,199507,104324083,1,100.0,27,217
tt0114887,tt0114887,3.372237106496986,20000000,22767,6384,18,100,199508,50012507,1,103.0,27,168
tt0114898,tt0114898,2.862218822227286,175000000,8300,1269,12,100,199507,264218220,3,135.0,27,1017
tt0111579,tt0111579,4.030478589420655,2800000,82796,82796,18,191,199405,2616503,1,135.0,4,35
tt0112471,tt0112471,3.8925692510625822,2500000,564,569,18,100,199501,5535405,3,105.0,176,984
tt0112508,tt0112508,3.248310158362302,10000000,57691,19292,35,100,199502,26488734,3,89.0,27,464
tt0112571,tt0112571,3.2856009070294783,21000000,18378,2395,35,100,199502,23450000,1,115.0,4,48
tt0109445,tt0109445,3.856592859331903,27000,19303,23629,35,100,199409,3151130,1,92.0,27,769
tt0112883,tt0112883,3.4358156418435817,25000000,25210,85,10749,100,199410,22200000,1,97.0,27,184
tt0109635,tt0109635,3.2872634806671157,55000000,8246,3392,18,100,199412,214015089,1,123.0,27,217
tt0109686,tt0109686,2.95447672534831,16000000,7396,206,35,100,199412,247275374,1,107.0,27,1894
tt0109707,tt0109707,3.658548396285535,18000000,510,85,35,100,199409,5887457,1,127.0,27,639
tt0113303,tt0113303,2.9040462427745664,15000000,57090,4785,18,100,199503,12201255,1,103.0,27,24
tt0110057,tt0110057,4.004337539432177,700000,122449,134119,99,100,199409,7830611,1,171.0,27,91
tt0110005,tt0110005,3.8197315923104815,5000000,108,15091,18,100,199409,3049135,1,99.0,2,299
tt0110148,tt0110148,3.50192968111202,60000000,17016,287,27,100,199411,223664608,2,123.0,27,1558
tt0113463,tt0113463,2.88366718027735,14000000,54441,1733,18,100,199503,2474000,1,139.0,27,10
tt0110216,tt0110216,2.6855424813981656,60000000,8858,1100,35,100,199411,37000000,1,109.0,27,381
tt0076759,tt0076759,4.132299305600623,11000000,1,2,12,100,197705,775398007,1,121.0,27,6778
tt0103994,tt0103994,3.917815818671739,2000000,22767,27643,18,52,199204,21665468,2,105.0,184,70
tt0110322,tt0110322,3.500140189536253,30000000,9181,287,12,100,199412,160638883,2,133.0,27,636
tt0113691,tt0113691,3.3320581484315226,17000000,15912,4431,18,100,199503,7603766,1,106.0,27,28
tt0109836,tt0109836,3.1225690276110445,45000000,11181,380,18,100,199411,112006296,1,123.0,70,272
tt0113808,tt0113808,3.021646859083192,6,5065,520,35,100,199501,5,1,95.0,27,7
tt0110638,tt0110638,3.394813614262561,31000000,10781,1038,18,100,199412,106683817,1,112.0,27,128
tt0110632,tt0110632,3.248667850799289,34000000,1152,57755,80,100,199408,50282766,3,119.0,27,927
tt0114069,tt0114069,3.4205731439142726,50000000,5231,4483,28,100,199503,189859560,3,127.0,27,522
tt0110413,tt0110413,4.080149006140683,16000000,59,1003,53,4,199409,45284974,1,110.0,4,4293
tt0114113,tt0114113,3.173611111111111,11000000,6495,3141,35,100,199505,2832826,1,113.0,27,9
tt0110912,tt0110912,4.169975313136369,8000000,138,8891,53,100,199409,213928762,3,154.0,27,8670
tt0105652,tt0105652,3.5118577075098814,400000,1614,1623,35,16,199202,152322,2,105.0,25,9
tt0114214,tt0114214,3.040473145780051,32000000,7623,4430,28,100,199502,18552460,1,107.0,158,431
tt0114296,tt0114296,3.1887550200803214,22000000,12804,2314,18,142,199503,12400000,1,108.0,27,7
tt0110907,tt0110907,2.70291702067403,15000000,9789,5676,18,100,199412,11300653,5,133.0,27,33
tt0111333,tt0111333,3.0617937853107344,35000000,107274,9260,16,100,199411,9771658,1,89.0,27,251
tt0111255,tt0111255,2.901295149223715,45000000,26648,16483,28,100,199410,170362582,1,110.0,125,317
tt0111282,tt0111282,3.3673626373626373,55000000,6046,6856,28,100,199410,196567262,3,121.0,4,942
tt0111070,tt0111070,3.134958011802088,22000000,58072,12898,14,100,199411,189833357,1,97.0,27,501
tt0111161,tt0111161,4.429014514393623,25000000,4027,504,18,100,199409,28341469,1,142.0,27,8358
tt0114614,tt0114614,2.8079533277771165,25000000,56891,15309,28,100,199503,4064495,1,98.0,27,140
tt0111280,tt0111280,3.3444071212630164,38000000,2380,2387,878,100,199411,120000000,1,118.0,27,461
tt0114609,tt0114609,2.811367895065584,6000000,141825,15864,80,100,199505,12000000,1,98.0,27,33
tt0108550,tt0108550,3.750168002067718,11000000,5306,85,10749,100,199312,10032765,1,118.0,27,943
tt0114857,tt0114857,2.990992835209826,30000000,57090,5292,28,100,199508,24048000,1,106.0,27,163
tt0114924,tt0114924,3.5089935090326114,17000000,12962,18277,35,100,199504,182057016,1,103.0,27,340
tt0110598,tt0110598,3.483084947839046,3000000,3045,3051,18,100,199409,15119639,1,106.0,14,104
tt0109040,tt0109040,2.9877855259040724,15000000,4499,206,35,100,199402,107217396,1,86.0,27,1684
tt0104779,tt0104779,3.430212014134276,5000000,3556,3291,53,100,199209,1862805,2,139.0,4,115
tt0109444,tt0109444,3.669152701003188,62000000,13015,3,28,100,199408,215887717,1,141.0,27,390
tt0109446,tt0109446,3.465260841115936,45000000,5572,4038,18,100,199407,117615211,1,119.0,27,287
tt0109506,tt0109506,3.5143396439035386,15000000,21085,57700,14,100,199405,94000000,1,102.0,27,980
tt0109813,tt0109813,2.4177416580667352,46000000,13581,1230,14,100,199405,341631208,1,91.0,27,559
tt0109830,tt0109830,4.052925882007376,55000000,24,31,35,100,199407,677945399,1,142.0,27,8147
tt0109831,tt0109831,3.64625289984198,6000000,10723,3291,35,100,199403,254700832,1,117.0,70,654
tt0110093,tt0110093,2.7305568338702253,45000000,56106,1733,28,100,199406,61947267,2,123.0,27,41
tt0110357,tt0110357,3.804648698761672,45000000,15812,53283,10751,100,199406,788241776,1,89.0,27,5520
tt0107426,tt0107426,3.1635058944131216,35000000,4956,6384,18,100,199312,4858139,1,140.0,4,76
tt0111686,tt0111686,2.9718945176960445,14000000,5140,5141,27,100,199410,18090181,1,112.0,27,297
tt0110475,tt0110475,3.1804832713754645,23000000,26713,206,10749,100,199407,351583407,2,101.0,27,2550
tt0110622,tt0110622,2.964050131926121,30000000,13426,7633,35,100,199403,51132598,1,83.0,27,535
tt0110950,tt0110950,3.2603938730853392,11500000,7399,1920,18,100,199402,20079850,1,99.0,27,180
tt0105226,tt0105226,3.7737116228070176,8000000,21053,2963,80,100,199307,2000000,1,98.0,27,71
tt0111257,tt0111257,3.487407781486036,30000000,2209,6384,28,100,199406,350448145,1,116.0,27,1814
tt0111438,tt0111438,2.716184701492537,27000000,37710,15111,53,100,199409,101646581,1,99.0,158,288
tt0111503,tt0111503,3.501833838303301,115000000,2710,1100,28,100,199407,378882411,4,141.0,27,1138
tt0111756,tt0111756,3.1985698569856984,63000000,8844,1269,18,100,199406,25052000,1,191.0,27,203
tt0110399,tt0110399,2.6657608695652173,10000000,35689,35689,28,100,199411,29392418,1,100.0,27,31
tt0110186,tt0110186,3.1605922551252847,7000000,67896,32486,80,100,199409,20851521,1,119.0,27,9
tt0111301,tt0111301,1.9161603888213847,35000000,1726,15111,28,100,199412,99423521,2,102.0,158,330
tt0110027,tt0110027,2.452938117524701,26000000,53599,38559,28,100,199411,36800000,1,99.0,200,110
tt0113409,tt0113409,3.1849148418491486,8000000,11770,4783,27,100,199412,8946600,1,95.0,27,307
tt0106226,tt0106226,3.551594746716698,34000000,1032,11856,18,100,199309,32255440,2,139.0,27,172
tt0109067,tt0109067,2.615926327193933,17080000,12988,4724,35,100,199401,21011500,1,107.0,27,42
tt0109254,tt0109254,2.755883440118285,50000000,4610,776,28,100,199405,119208989,1,104.0,27,445
tt0106452,tt0106452,3.112452720395694,13000000,39104,5503,27,100,199306,428868,1,87.0,27,102
tt0106489,tt0106489,3.815186246418338,22000000,380,380,18,100,199309,17287898,2,121.0,27,447
tt0106505,tt0106505,2.309352517985612,13000000,61175,19143,18,100,199309,2570145,1,90.0,27,10
tt0106519,tt0106519,3.698139181619672,30000000,1150,1158,28,100,199311,36516012,2,144.0,27,805
tt0106582,tt0106582,3.0686800160484373,70000000,16938,16483,28,100,199305,255000211,1,112.0,4,600
tt0109456,tt0109456,2.6191198786039456,40000000,21806,62,18,100,199408,19726050,2,121.0,27,117
tt0106677,tt0106677,3.6814545454545455,6900000,564,52474,35,100,199309,7993039,1,102.0,27,588
tt0106697,tt0106697,3.0449333136473253,57000000,58838,16483,80,100,199310,159055768,1,115.0,27,1018
tt0106941,tt0106941,3.1064154786150717,30000000,5174,521,35,100,199310,11146270,1,94.0,27,77
tt0106918,tt0106918,3.501918859649123,42000000,2226,500,18,100,199306,270248367,1,154.0,27,513
tt0106965,tt0106965,2.6083089052865662,20000000,18254,18259,10751,100,199307,153698625,1,112.0,4,429
tt0106977,tt0106977,3.982462161210841,44000000,12989,3,12,100,199308,368875760,1,130.0,27,1240
tt0107004,tt0107004,3.150184842883549,35000000,1723,12261,36,100,199312,18635620,2,115.0,27,44
tt0107076,tt0107076,2.9211785821118754,18000000,11401,15111,28,100,199308,74189677,1,97.0,27,237
tt0107144,tt0107144,2.915433195184528,25000000,12936,6952,28,100,199305,133752825,1,86.0,27,463
tt0107206,tt0107206,3.722052947052947,40000000,5231,190,28,100,199307,176997168,1,128.0,27,392
tt0107207,tt0107207,3.903472831918837,13000000,53334,11856,18,100,199312,65796862,1,133.0,70,363
tt0107290,tt0107290,3.6602380472059712,63000000,488,4783,12,100,199306,920100000,2,127.0,27,4956
tt0107302,tt0107302,3.339386871042985,9000000,58498,287,53,100,199309,2395231,1,117.0,27,209
tt0110265,tt0110265,3.426579597599717,1500000,8297,7036,28,100,199310,418961,2,96.0,4,111
tt0107362,tt0107362,2.780393442622951,85000000,1090,1100,12,100,199306,137298489,1,130.0,27,725
tt0107507,tt0107507,3.661917482932621,13500000,1243,1243,35,100,199308,11285588,1,104.0,27,169
tt0107554,tt0107554,3.613619356447992,3500000,11447,57773,18,100,199305,27900000,1,97.0,27,179
tt0116253,tt0116253,3.374661481841539,55000000,2523,6856,28,100,199603,121969216,1,133.0,27,261
tt0107614,tt0107614,3.3931413515024085,25000000,10965,2157,35,100,199311,441286195,1,125.0,27,1638
tt0110657,tt0110657,2.318245778611632,12000000,56828,23915,12,100,199407,15826984,1,107.0,27,202
tt0110678,tt0110678,2.977674810446504,20000000,10702,11477,28,100,199404,15340000,1,118.0,27,86
tt0107808,tt0107808,3.522655577860625,30000000,190,1269,80,100,199311,135130999,1,138.0,27,376
tt0107818,tt0107818,3.8064068120759527,26000000,16294,31,18,100,199312,206678440,1,125.0,27,1019
tt0107822,tt0107822,3.686800410966312,7000000,10757,18686,18,100,199305,116700000,2,121.0,2,290
tt0107840,tt0107840,2.759656652360515,14000000,6482,54421,18,100,199307,27515786,2,109.0,27,47
tt0110955,tt0110955,3.451834392293503,11000000,34849,5724,35,100,199403,11439193,1,97.0,27,99
tt0107943,tt0107943,3.8954600800139154,11500000,54441,4173,18,100,199311,23237911,1,134.0,70,213
tt0110971,tt0110971,3.084481304470059,40000000,14911,518,35,100,199406,24332324,2,128.0,200,83
tt0107978,tt0107978,2.243944339460574,22000000,44056,31512,28,100,199304,10696210,2,104.0,27,309
tt0107977,tt0107977,3.0614243323442136,20000000,14639,2130,35,100,199307,35739755,1,104.0,4,575
tt0107983,tt0107983,3.3238307349665925,11500000,21377,64,28,100,199309,3275585,1,100.0,70,36
tt0108000,tt0108000,3.650053022269353,800000,138322,15852,18,100,199310,1001437,1,114.0,27,10
tt0108002,tt0108002,3.5151697042453347,12000000,44847,1328,18,100,199309,22750363,2,114.0,27,187
tt0108052,tt0108052,4.266530696698294,22000000,488,3896,18,100,199311,321365567,4,195.0,27,4436
tt0111127,tt0111127,3.06212785960514,13000000,10367,3391,35,100,199404,7820688,1,95.0,27,137
tt0111143,tt0111143,2.9261712043168995,25000000,52968,7447,12,100,199407,48063435,1,108.0,27,140
tt0108160,tt0108160,3.5162202094173574,21000000,9248,31,35,100,199306,227799884,1,105.0,27,630
tt0108162,tt0108162,2.7241281809613573,40000000,13015,4430,18,100,199305,116300000,1,108.0,27,144
tt0083658,tt0083658,4.12244293712317,28000000,578,3,878,100,198206,33139618,5,117.0,27,3833
tt0108174,tt0108174,3.211429570080392,20000000,15106,12073,35,100,199307,11585483,2,93.0,27,131
tt0108255,tt0108255,2.089277279168635,48000000,58164,382,12,100,199305,20915465,1,104.0,70,236
tt0111323,tt0111323,2.8226371061843643,7400000,15521,21411,28,100,199404,7690013,1,96.0,27,53
tt0111400,tt0111400,2.9015587936292784,50000000,45645,6952,28,100,199409,16478900,1,102.0,27,82
tt0107688,tt0107688,3.736994591810456,18000000,57646,531,14,100,199310,75634409,1,76.0,27,2135
tt0108333,tt0108333,3.1939479145745464,30000000,18356,6952,28,100,199311,53898845,1,105.0,27,219
tt0108358,tt0108358,3.6939798302791775,25000000,16566,6856,28,100,199312,56505065,3,130.0,27,632
tt0108399,tt0108399,3.804196009389672,12500000,893,2224,28,100,199309,12281551,2,120.0,27,762
tt0110763,tt0110763,2.8112582781456954,27000000,4945,11510,14,100,199411,13670688,5,80.0,27,178
tt0099785,tt0099785,3.1193118580468724,18000000,10965,11510,35,100,199011,476684675,1,103.0,27,2487
tt0099653,tt0099653,3.4452618256604968,22000000,3415,723,14,100,199007,505000000,1,127.0,27,1381
tt0103639,tt0103639,3.687523573200993,28000000,15810,15827,16,100,199211,504050219,1,90.0,27,3495
tt0103064,tt0103064,3.9389999353127623,100000000,2710,1100,28,100,199107,520000000,2,137.0,4,4274
tt0099348,tt0099348,3.740689158128482,22000000,1269,1269,12,100,199011,424208848,1,181.0,70,1084
tt0096895,tt0096895,3.384822309510956,35000000,510,514,14,100,198906,411348924,2,126.0,70,2145
tt0102926,tt0102926,4.15224553390899,19000000,16294,1038,80,100,199102,272742922,1,119.0,27,4549
tt0029583,tt0029583,3.5779943600653046,1488423,5446,5460,14,100,193712,184925486,1,83.0,27,1973
tt0101414,tt0101414,3.677421699004433,25000000,62047,62050,10749,100,199111,377350553,2,84.0,27,3029
tt0032910,tt0032910,3.4475944462382957,2600000,11429,33923,16,100,194002,84300000,1,88.0,27,1412
tt0100405,tt0100405,3.429514770752573,14000000,1201,1204,10749,100,199003,463000000,3,119.0,27,1807
tt0065214,tt0065214,3.981740370898716,6244087,7767,8252,12,100,196906,638641,3,145.0,27,266
tt0116282,tt0116282,4.105347410145977,7000000,1223,3905,80,100,199604,60611975,1,98.0,27,2080
tt0116514,tt0116514,2.5288108957569406,4000000,176246,7039,27,100,199603,16675000,1,86.0,27,111
tt0065421,tt0065421,3.373526698780363,4000000,57314,57329,16,100,197012,55675257,1,78.0,27,1287
tt0117381,tt0117381,3.752637379940167,30000000,17812,1205,80,100,199604,102616183,2,129.0,27,644
tt0116414,tt0116414,2.9319502074688795,12000000,5281,4604,35,100,199603,4939939,1,108.0,27,17
tt0115956,tt0115956,3.531293382693198,46000000,9181,5292,18,100,199607,100860818,1,117.0,27,240
tt0117060,tt0117060,3.400149588631264,80000000,1150,500,12,100,199605,457696359,3,110.0,27,2677
tt0116136,tt0116136,3.219820579204046,57000000,18878,6065,14,100,199605,115267375,1,103.0,27,553
tt0116683,tt0116683,3.2867886987664146,38000000,57646,6199,12,100,199604,28921264,1,79.0,27,375
tt0116269,tt0116269,3.05,13000000,47773,38225,35,100,199604,9789900,1,91.0,27,4
tt0117705,tt0117705,2.754477552003855,80000000,23677,23678,16,100,199611,250200000,1,88.0,27,1335
tt0062711,tt0062711,2.980796586059744,9000000,53767,6352,878,100,196810,2500000,1,98.0,27,149
tt0117104,tt0117104,3.053090332805071,25000000,24318,4090,35,100,199604,10070000,1,105.0,27,26
tt0117420,tt0117420,2.844155844155844,30000000,15111,15111,28,100,199604,57400547,1,95.0,200,126
tt0095776,tt0095776,3.313930673642904,31000000,71792,51750,16,100,198811,74151346,1,74.0,27,372
tt0116322,tt0116322,2.6713383339913146,25530000,129941,109,12,100,199605,20080020,1,95.0,27,85
tt0113362,tt0113362,3.544891640866873,35000000,25950,1137,10752,100,199509,15000000,2,135.0,4,25
tt0115963,tt0115963,3.0748234395877074,15000000,41549,17346,18,100,199605,24769466,1,101.0,27,388
tt0117260,tt0117260,2.7996031746031744,4800000,19266,9811,28,100,199605,3014000,2,99.0,27,5
tt0117500,tt0117500,3.689883152980544,75000000,865,738,28,100,199606,335062621,1,136.0,27,1474
tt0117998,tt0117998,3.2215517015191666,92000000,2209,9994,28,100,199605,494471524,1,113.0,27,966
tt0115571,tt0115571,3.170309168443497,25000000,28239,6952,28,100,199605,14048372,1,115.0,184,200
tt0057012,tt0057012,4.213030410183875,1800000,240,12446,18,100,196401,9440272,1,95.0,70,1472
tt0117331,tt0117331,2.809316920106203,45000000,18254,1954,12,100,199606,17300889,1,100.0,14,138
tt0117765,tt0117765,2.4176879617557585,50000000,41550,3416,18,100,199606,113309743,1,115.0,27,210
tt0116669,tt0116669,3.05774767146486,45000000,1776,2157,35,100,199608,58620973,1,113.0,27,340
tt0117951,tt0117951,4.007992895204263,4000000,2034,3061,18,100,199602,16491080,1,93.0,70,2737
tt0116629,tt0116629,3.397041864691082,75000000,6046,2888,28,100,199606,816969268,1,145.0,27,3334
tt0116277,tt0116277,2.878578646008757,55000000,893,380,18,100,199608,18626419,1,116.0,27,202
tt0116583,tt0116583,3.2433157128629437,100000000,62047,3999,18,100,199606,100138851,2,91.0,27,1182
tt0115798,tt0115798,2.701838904882204,47000000,7399,206,35,100,199606,102825796,1,96.0,27,603
tt0116778,tt0116778,3.2795310366979846,27000000,7395,57755,35,100,199607,25023434,1,113.0,27,248
tt0116213,tt0116213,3.173135120785771,100000000,26713,1100,28,100,199606,242295562,1,115.0,200,553
tt0117218,tt0117218,2.8617094095099023,54000000,4499,776,14,100,199606,128769345,1,95.0,27,717
tt0116040,tt0116040,2.8344203972724578,80000000,18878,16483,28,100,199612,159212469,1,115.0,27,385
tt0116365,tt0116365,3.3622187410994018,30000000,108,521,27,100,199607,29359216,1,110.0,2,413
tt0116905,tt0116905,4.062516591452084,5000000,102445,2955,18,100,199606,13269963,2,135.0,27,79
tt0117333,tt0117333,3.470116214720531,32000000,12962,8891,18,100,199607,152036382,1,123.0,27,328
tt0117628,tt0117628,3.0810293492131007,3500000,12833,12833,35,100,199608,9482579,2,96.0,27,71
tt0117913,tt0117913,3.691940885264997,40000000,5572,10297,80,100,199607,152266007,1,149.0,27,522
tt0116320,tt0116320,2.853185595567867,25000000,40230,2975,28,100,199607,17193231,1,98.0,27,49
tt0116707,tt0116707,2.684344722080571,13000000,71110,3035,14,100,199607,4619014,1,78.0,27,87
tt0116313,tt0116313,3.087794833395732,26000000,28904,18892,35,100,199609,116400000,1,102.0,27,172
tt0117438,tt0117438,3.4532227689690784,80000000,6159,2461,28,100,199611,309492681,1,117.0,27,482
tt0115857,tt0115857,2.920302921024162,50000000,12989,6384,28,100,199608,60209334,1,107.0,27,291
tt0117008,tt0117008,3.432140700483092,36000000,518,11717,35,100,199608,33459416,1,98.0,27,892
tt0116191,tt0116191,3.7496720594665502,6000000,32983,12052,18,100,199608,22231658,1,121.0,27,152
